OBJECTID,FIPS_COD,CNTY_NO,CNTY_COD,COUNTY,Shape__Area,Shape__Length
1,09001,1,1,Fairfield,17974345496.9267,1086466.98342419
2,09003,2,3,Hartford,20929197388.5226,829050.710064835
3,09005,3,5,Litchfield,26343183580.2335,759721.403432975
4,09007,4,7,Middlesex,10707829971.1885,619596.705657253
5,09009,5,9,New Haven,17224835789.7757,962445.268467044
6,09011,6,11,New London,19226034459.7907,955643.189319493
7,09013,7,13,Tolland,11633215318.1601,592488.078544355
8,09015,8,15,Windham,14536182132.6317,554810.935735688
